## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.235368      
450      0.480606      
500      0.501199      
550      0.536687      
600      0.58469       
650      0.63188       
700      0.666683      
750      0.687907      
800      0.700207      
850      0.71276       
900      0.725321      
950      0.738401      
1000     0.748062      
