## pi+ -> cu-63
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.233655      
450      0.477197      
500      0.497819      
550      0.533324      
600      0.581364      
650      0.628624      
700      0.663516      
750      0.684836      
800      0.697215      
850      0.709878      
900      0.722527      
950      0.735692      
1000     0.745404      
