## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.26353       
450      0.536459      
500      0.556214      
550      0.590989      
600      0.637871      
650      0.683456      
700      0.716505      
750      0.736003      
800      0.746923      
850      0.757575      
900      0.768632      
950      0.78027       
1000     0.789063      
