## pi+ -> nb-93
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.227911      
450      0.465758      
500      0.486465      
550      0.522001      
600      0.570135      
650      0.617609      
700      0.652784      
750      0.674413      
800      0.68705       
850      0.700079      
900      0.713019      
950      0.726465      
1000     0.736347      
