## pi+ -> sn-120
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
0        362.797       
50       1040.76       
100      1190.21       
150      1159.89       
200      889.988       
250      732.617       
300      665.516       
350      622.315       
400      608.208       
450      616.752       
500      638.621       
550      659.127       
600      670.638       
650      686.427       
700      718.358       
750      757.128       
800      791.749       
850      807.76        
900      813.921       
950      814.672       
1000     821.733       
