## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
150      128.371       
200      120.036       
250      108.969       
300      98.7209       
350      87.9948       
400      83.2125       
450      79.1817       
500      75.9024       
550      73.2379       
600      71.1884       
650      69.617        
700      68.5239       
750      67.8202       
800      67.4582       
850      67.3967       
900      67.5948       
950      68.0184       
1000     68.5922       
0        12.4886       
50       38.0119       
