## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
85       4200.         
125      4080.         
165      3950.         
205      3840.         
245      3810.         
315      3500.         
350      3099          
400      2930.57       
450      2788.62       
500      2673.13       
550      2579.29       
600      2507.11       
650      2451.77       
700      2413.27       
750      2388.49       
800      2375.74       
850      2373.57       
900      2380.55       
950      2395.47       
1000     2415.68       
0        801.817       
50       3642.07       
