## pi+ -> he3-3
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
0        21.8587       
50       58.7583       
100      75.4637       
150      75.0791       
200      59.5722       
250      50.3509       
300      46.0827       
350      43.4496       
400      42.5701       
450      43.4026       
500      45.4029       
550      47.5073       
600      49.1393       
650      51.0651       
700      54.0474       
750      57.4183       
800      60.3626       
850      61.9774       
900      62.7803       
950      63.1553       
1000     63.9053       
