## pi+ -> cu-63
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
0        206.029       
50       586.235       
100      729.397       
150      713.455       
200      550.812       
250      455.67        
300      414.525       
350      388.232       
400      379.613       
450      385.348       
500      399.805       
550      413.753       
600      422.357       
650      433.622       
700      454.835       
750      480.163       
800      502.667       
850      513.509       
900      517.993       
950      519.016       
1000     523.862       
