## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
85       260.          
125      425.          
165      495.          
205      462.          
245      394.          
315      288.          
89.      312.0         
115.     384.4         
128.     420.4         
156.     487.3         
187.     480.7         
229.     394.2         
259.     356.4         
289.     308.6         
337.     258.5         
409.     212.0         
482.     191.8         
567.     194.3         
696.     199.3         
855.     222.7         
0        43.3297       
50       156.864       
