## pi+ -> nb-93
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
85       2570.         
125      2580.         
165      2500.         
205      2400.         
245      2250.         
315      2000.         
0        289.21        
50       827.178       
100      980.227       
150      956.654       
200      735.838       
250      606.921       
300      551.646       
350      516.163       
400      504.559       
450      511.861       
500      530.431       
550      548.053       
600      558.356       
650      572.203       
700      599.374       
750      632.136       
800      661.333       
850      675.066       
900      680.516       
950      681.433       
1000     687.524       
