#
# QE nuclear suppression factor for deuterium
#
# Source: 
# S.K.Singh, The effect of final state interactions and deuteron binding in numu + D2 -> mu- + pp, 
# Nucl. Phys. B 36, 419 (1972).
#
# Q2 (GeV^2)  Suppression
  2.35386E-5  4.51356E-1
  1.52707E-3  4.83776E-1
  2.04610E-3  5.12151E-1
  3.05257E-3  5.37819E-1
  4.55610E-3  5.70239E-1
  6.06100E-3  6.04012E-1
  8.05610E-3  6.37780E-1
  1.00526E-2  6.72900E-1
  1.35251E-2  7.13413E-1
  1.74823E-2  7.48518E-1
  2.19298E-2  7.83619E-1
  2.63813E-2  8.22774E-1
  3.37685E-2  8.56500E-1
  4.06601E-2  8.84826E-1
  4.95069E-2  9.07730E-1
  5.83509E-2  9.27932E-1
  6.71881E-2  9.41378E-1
  7.65127E-2  9.52116E-1
  8.73093E-2  9.64195E-1
  9.76144E-2  9.74926E-1
  1.08898E-1  9.84299E-1
  1.22136E-1  9.86899E-1
  1.35374E-1  9.89500E-1
  1.47632E-1  9.92108E-1
  1.61849E-1  9.93349E-1
  1.74104E-1  9.95255E-1
  1.84888E-1  9.98171E-1
  1.97631E-1  1.0
  2.00000E-1  1.0
  3.00000E-1  1.0
  4.00000E-1  1.0
  5.00000E-1  1.0
