#  Provided & maintained by Steve Dytman
#
# data used in GENIE for piA total cross sections where A is any nucleus
# use combination of Ashery, Carroll data + extrapolation and INC model results of Mashnik, et al. for piplus+56Fe
# assume piminusA and pizeroA same as piplusA for now, can be improved later
# KE is lab energy in MeV, cross sections in lab, units=mb
#
# KE     piA tot    piA elas    piA inel     piA cex     piA np      piA pp      piA npp     piA nnp     piA 2n2p    piA npi+pi0
#  fate=               2            3           1          4            5          6           7          8            9     
   0.  0.2762E+02  0.6215E+01  0.1254E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8860E+01  0.0000E+00
  50.  0.1381E+04  0.3108E+03  0.5730E+03  0.5400E+02  0.6186E+02  0.2262E+02  0.3519E+02  0.1416E+02  0.3092E+03  0.0000E+00
 100.  0.1945E+04  0.6726E+03  0.7150E+03  0.9700E+02  0.9262E+02  0.2777E+02  0.5520E+02  0.4711E+02  0.2380E+03  0.0000E+00
 150.  0.1879E+04  0.6874E+03  0.5228E+03  0.1105E+03  0.7031E+02  0.2180E+02  0.5060E+02  0.4471E+02  0.3708E+03  0.0000E+00
 200.  0.1757E+04  0.6940E+03  0.3592E+03  0.1005E+03  0.4585E+02  0.1416E+02  0.3357E+02  0.2985E+02  0.4798E+03  0.0000E+00
 250.  0.1595E+04  0.6677E+03  0.4303E+03  0.9200E+02  0.3555E+02  0.1035E+02  0.2432E+02  0.2202E+02  0.3123E+03  0.0000E+00
 300.  0.1445E+04  0.6106E+03  0.4081E+03  0.8700E+02  0.3289E+02  0.8680E+01  0.2083E+02  0.2014E+02  0.2570E+03  0.0000E+00
 350.  0.1288E+04  0.4797E+03  0.4014E+03  0.8350E+02  0.3122E+02  0.7360E+01  0.1745E+02  0.1956E+02  0.2481E+03  0.0000E+00
 400.  0.1218E+04  0.4070E+03  0.3999E+03  0.2498E+02  0.3092E+02  0.6340E+01  0.1563E+02  0.2044E+02  0.2556E+03  0.5702E+02
 450.  0.1159E+04  0.3460E+03  0.3939E+03  0.2167E+02  0.3074E+02  0.5570E+01  0.1431E+02  0.2148E+02  0.2621E+03  0.6333E+02
 500.  0.1111E+04  0.2956E+03  0.3840E+03  0.2031E+02  0.2980E+02  0.4930E+01  0.1341E+02  0.2222E+02  0.2691E+03  0.7169E+02
 550.  0.1072E+04  0.2546E+03  0.3710E+03  0.2187E+02  0.2761E+02  0.4440E+01  0.1260E+02  0.2220E+02  0.2779E+03  0.8013E+02
 600.  0.1042E+04  0.2221E+03  0.3565E+03  0.2038E+02  0.2449E+02  0.4020E+01  0.1176E+02  0.2088E+02  0.2888E+03  0.9312E+02
 650.  0.1019E+04  0.1918E+03  0.3515E+03  0.1464E+02  0.2167E+02  0.3740E+01  0.1125E+02  0.1961E+02  0.2937E+03  0.1114E+03
 700.  0.1003E+04  0.1681E+03  0.3455E+03  0.1111E+02  0.2009E+02  0.3750E+01  0.1120E+02  0.1916E+02  0.2958E+03  0.1284E+03
 750.  0.9927E+03  0.1502E+03  0.3405E+03  0.1160E+02  0.1925E+02  0.3800E+01  0.1153E+02  0.1916E+02  0.2963E+03  0.1404E+03
 800.  0.9874E+03  0.1374E+03  0.3380E+03  0.1468E+02  0.1912E+02  0.3830E+01  0.1163E+02  0.1930E+02  0.2961E+03  0.1473E+03
 850.  0.9865E+03  0.1290E+03  0.3390E+03  0.1735E+02  0.1851E+02  0.3770E+01  0.1129E+02  0.1901E+02  0.2974E+03  0.1511E+03
 900.  0.9894E+03  0.1244E+03  0.3420E+03  0.1615E+02  0.1785E+02  0.3570E+01  0.1062E+02  0.1826E+02  0.2997E+03  0.1569E+03
 950.  0.9956E+03  0.1231E+03  0.3460E+03  0.1184E+02  0.1709E+02  0.3350E+01  0.1001E+02  0.1761E+02  0.3019E+03  0.1647E+03
1000.  0.1004E+04  0.1245E+03  0.3495E+03  0.8496E+01  0.1674E+02  0.3210E+01  0.9700E+01  0.1724E+02  0.3031E+03  0.1720E+03

