#------------------------------------------------------------------
# GENIE Hadronization Tuning Data:
#      Corrected normalized invariant xF distributions
# Source:    
#     P. Allen et al., Nucl.Phys.B214,369(1983) 
#     An investigation of quark & diquark fragmentation in v+p and
#     vbar+p CC interactions in BEBC.
#     BEBC bubble chamber filled with hydrogen exposed to wide-band 
#     neutrino and antineutrino beams generated by 350GeV and 400GeV 
#     protons from the CERN SPS. 
#     Cuts applied: Pmuon>3GeV/c, Evis>5GeV, W>3GeV, x_BJ>0.1
# Digitizer:    
#      T.Yang
# Conventions:
#      nu   : 1->neutrino, -1->antineutrino
#      nuc  : hit nucleon PDG code
#      xF   : Feynman-x
#      F    : (1/No)x(1/pi)x(E^*/pLmax^*)x(dN/dxF)
#             where
#                 No      : total number of events
#                 dN/dxF  : number of events in xF bin
#                 E^*     : hadronic CM energy
#                 pLmax^* : max pL at hadronic CM
#      dF   : error on F 
#             includes statistical error and error in correction
#      Wmin : kinematical cut (minimum W)
#      xBmin: kinematical cut (minimum Bjorken-x)
#      nt   : which xF distribution do we refer to:
#             1->n+, -1->n-, 0->n0, 2->nch, 3->ntot,
#             for specific particles (p,n,pi0,pi_,pi-) nt=pdgc
#
#------------------------------------------------------------------
# pi- data in vp
# -----------------------------------------------------------------
# nu  nuc    Wmin   xBmin  xF	     F	     dF      nt
  1   2212   3.00   0.10   -0.975    0.0000  0.0000  -211  
  1   2212   3.00   0.10   -0.925    0.0000  0.0000  -211  
  1   2212   3.00   0.10   -0.875    0.0000  0.0000  -211  
  1   2212   3.00   0.10   -0.825    0.0027  0.0028  -211  
  1   2212   3.00   0.10   -0.775    0.0000  0.0000  -211  
  1   2212   3.00   0.10   -0.725    0.0000  0.0000  -211  
  1   2212   3.00   0.10   -0.675    0.0000  0.0000  -211  
  1   2212   3.00   0.10   -0.625    0.0008  0.0008  -211  
  1   2212   3.00   0.10   -0.575    0.0015  0.0011  -211  
  1   2212   3.00   0.10   -0.525    0.0026  0.0013  -211  
  1   2212   3.00   0.10   -0.475    0.0047  0.0017  -211  
  1   2212   3.00   0.10   -0.425    0.0109  0.0028  -211  
  1   2212   3.00   0.10   -0.375    0.0127  0.0027  -211  
  1   2212   3.00   0.10   -0.325    0.0215  0.0033  -211  
  1   2212   3.00   0.10   -0.275    0.0300  0.0038  -211  
  1   2212   3.00   0.10   -0.225    0.0431  0.0043  -211  
  1   2212   3.00   0.10   -0.175    0.0614  0.0049  -211  
  1   2212   3.00   0.10   -0.125    0.0815  0.0051  -211  
  1   2212   3.00   0.10   -0.075    0.1064  0.0058  -211  
  1   2212   3.00   0.10   -0.025    0.1407  0.0068  -211  
  1   2212   3.00   0.10    0.025    0.1516  0.0070  -211  
  1   2212   3.00   0.10    0.075    0.1507  0.0073  -211  
  1   2212   3.00   0.10    0.125    0.1336  0.0070  -211  
  1   2212   3.00   0.10    0.175    0.1121  0.0066  -211  
  1   2212   3.00   0.10    0.225    0.0924  0.0061  -211  
  1   2212   3.00   0.10    0.275    0.0888  0.0063  -211  
  1   2212   3.00   0.10    0.325    0.0654  0.0059  -211  
  1   2212   3.00   0.10    0.375    0.0500  0.0051  -211  
  1   2212   3.00   0.10    0.425    0.0386  0.0046  -211  
  1   2212   3.00   0.10    0.475    0.0356  0.0048  -211  
  1   2212   3.00   0.10    0.525    0.0230  0.0038  -211  
  1   2212   3.00   0.10    0.575    0.0161  0.0034  -211  
  1   2212   3.00   0.10    0.625    0.0191  0.0040  -211  
  1   2212   3.00   0.10    0.675    0.0183  0.0043  -211  
  1   2212   3.00   0.10    0.725    0.0117  0.0036  -211  
  1   2212   3.00   0.10    0.775    0.0063  0.0027  -211  
  1   2212   3.00   0.10    0.825    0.0033  0.0020  -211  
  1   2212   3.00   0.10    0.875    0.0012  0.0012  -211  
  1   2212   3.00   0.10    0.925    0.0013  0.0013  -211  
  1   2212   3.00   0.10    0.975    0.0000  0.0000  -211  
#------------------------------------------------------------------
# pi+ data in vp
# -----------------------------------------------------------------
# nu  nuc    Wmin   xBmin  xF	     F	     dF      nt
  1   2212   3.00   0.10   -0.975    0.0000  0.0000  211  
  1   2212   3.00   0.10   -0.925    0.0000  0.0000  211  
  1   2212   3.00   0.10   -0.875    0.0006  0.0007  211  
  1   2212   3.00   0.10   -0.825    0.0005  0.0005  211  
  1   2212   3.00   0.10   -0.775    0.0036  0.0019  211  
  1   2212   3.00   0.10   -0.725    0.0071  0.0026  211  
  1   2212   3.00   0.10   -0.675    0.0066  0.0023  211  
  1   2212   3.00   0.10   -0.625    0.0078  0.0024  211  
  1   2212   3.00   0.10   -0.575    0.0174  0.0037  211  
  1   2212   3.00   0.10   -0.525    0.0198  0.0036  211  
  1   2212   3.00   0.10   -0.475    0.0369  0.0049  211  
  1   2212   3.00   0.10   -0.425    0.0570  0.0062  211  
  1   2212   3.00   0.10   -0.375    0.0674  0.0062  211  
  1   2212   3.00   0.10   -0.325    0.0967  0.0076  211  
  1   2212   3.00   0.10   -0.275    0.1276  0.0082  211  
  1   2212   3.00   0.10   -0.225    0.1452  0.0084  211  
  1   2212   3.00   0.10   -0.175    0.2030  0.0100  211  
  1   2212   3.00   0.10   -0.125    0.2060  0.0100  211  
  1   2212   3.00   0.10   -0.075    0.2420  0.0110  211  
  1   2212   3.00   0.10   -0.025    0.2560  0.0120  211  
  1   2212   3.00   0.10    0.025    0.2430  0.0120  211  
  1   2212   3.00   0.10    0.075    0.2240  0.0120  211  
  1   2212   3.00   0.10    0.125    0.2050  0.0110  211  
  1   2212   3.00   0.10    0.175    0.1820  0.0110  211  
  1   2212   3.00   0.10    0.225    0.1700  0.0100  211  
  1   2212   3.00   0.10    0.275    0.1589  0.0098  211  
  1   2212   3.00   0.10    0.325    0.1327  0.0087  211  
  1   2212   3.00   0.10    0.375    0.1144  0.0081  211  
