#------------------------------------------------------------------
# GENIE Hadronization Tuning Data:
#      Corrected normalized xF distributions
# Source:    
#     P. Allen et al., Nucl.Phys.B214,369(1983) 
#     An investigation of quark & diquark fragmentation in v+p and
#     vbar+p CC interactions in BEBC.
#     BEBC bubble chamber filled with hydrogen exposed to wide-band 
#     neutrino and antineutrino beams generated by 350GeV and 400GeV 
#     protons from the CERN SPS. 
#     Cuts applied: Pmuon>3GeV/c, Evis>5GeV, W>3GeV, x_BJ>0.1
# Digitizer:    
#      T.Yang
# Conventions:
#      nu   : 1->neutrino, -1->antineutrino
#      nuc  : hit nucleon PDG code
#      xF   : Feynman-x
#      F    : (1/No)*(dN/dxF)
#             where
#                 No        : total number of events
#                 dN/dxF    : number of events in xF bin
#      dF   : error on F 
#             includes statistical error and error in correction
#      Wmin : kinematical cut (minimum W)
#      xBmin: kinematical cut (minimum Bjorken-x)
#      nt   : which xF distribution do we refer to:
#             1->n+, -1->n-, 0->n0, 2->nch, 3->ntot,
#             for specific particles (p,n,pi0,pi_,pi-) nt=pdgc
#
#------------------------------------------------------------------
# pi- data in vp
# -----------------------------------------------------------------
# nu  nuc   Wmin   xBmin  xF	   F	    dF      nt
 1   2212   3.00   0.10   -0.975   0.000    0.000   -211  
 1   2212   3.00   0.10   -0.925   0.000    0.000   -211  
 1   2212   3.00   0.10   -0.875   0.000    0.000   -211  
 1   2212   3.00   0.10   -0.825   0.004    0.004   -211  
 1   2212   3.00   0.10   -0.775   0.000    0.000   -211  
 1   2212   3.00   0.10   -0.725   0.000    0.000   -211  
 1   2212   3.00   0.10   -0.675   0.000    0.000   -211  
 1   2212   3.00   0.10   -0.625   0.004    0.004   -211  
 1   2212   3.00   0.10   -0.575   0.007    0.005   -211  
 1   2212   3.00   0.10   -0.525   0.014    0.008   -211  
 1   2212   3.00   0.10   -0.475   0.029    0.011   -211  
 1   2212   3.00   0.10   -0.425   0.069    0.017   -211  
 1   2212   3.00   0.10   -0.375   0.094    0.020   -211  
 1   2212   3.00   0.10   -0.325   0.181    0.028   -211  
 1   2212   3.00   0.10   -0.275   0.278    0.035   -211  
 1   2212   3.00   0.10   -0.225   0.459    0.045   -211  
 1   2212   3.00   0.10   -0.175   0.823    0.064   -211  
 1   2212   3.00   0.10   -0.125   1.354    0.081   -211  
 1   2212   3.00   0.10   -0.075   2.230    0.110   -211  
 1   2212   3.00   0.10   -0.025   3.780    0.160   -211  
 1   2212   3.00   0.10    0.025   4.270    0.180   -211  
 1   2212   3.00   0.10    0.075   3.170    0.150   -211  
 1   2212   3.00   0.10    0.125   2.220    0.110   -211  
 1   2212   3.00   0.10    0.175   1.487    0.086   -211  
 1   2212   3.00   0.10    0.225   1.021    0.066   -211  
 1   2212   3.00   0.10    0.275   0.840    0.058   -211  
 1   2212   3.00   0.10    0.325   0.537    0.048   -211  
 1   2212   3.00   0.10    0.375   0.369    0.037   -211  
 1   2212   3.00   0.10    0.425   0.258    0.030   -211  
 1   2212   3.00   0.10    0.475   0.209    0.028   -211  
 1   2212   3.00   0.10    0.525   0.129    0.021   -211  
 1   2212   3.00   0.10    0.575   0.081    0.017   -211  
 1   2212   3.00   0.10    0.625   0.091    0.019   -211  
 1   2212   3.00   0.10    0.675   0.080    0.019   -211  
 1   2212   3.00   0.10    0.725   0.048    0.015   -211  
 1   2212   3.00   0.10    0.775   0.024    0.010   -211  
 1   2212   3.00   0.10    0.825   0.012    0.007   -211  
 1   2212   3.00   0.10    0.875   0.004    0.004   -211  
 1   2212   3.00   0.10    0.925   0.004    0.004   -211  
 1   2212   3.00   0.10    0.975   0.000    0.000   -211  
#------------------------------------------------------------------
# pi+ data in vp
# -----------------------------------------------------------------
# nu  nuc   Wmin   xBmin  xF	   F	    dF      nt
 1   2212   3.00   0.10   -0.975   0.000    0.000   211  
 1   2212   3.00   0.10   -0.925   0.000    0.000   211  
 1   2212   3.00   0.10   -0.875   0.002    0.003   211  
 1   2212   3.00   0.10   -0.825   0.003    0.003   211  
 1   2212   3.00   0.10   -0.775   0.014    0.008   211  
 1   2212   3.00   0.10   -0.725   0.029    0.011   211  
 1   2212   3.00   0.10   -0.675   0.029    0.010   211  
 1   2212   3.00   0.10   -0.625   0.037    0.012   211  
 1   2212   3.00   0.10   -0.575   0.085    0.018   211  
 1   2212   3.00   0.10   -0.525   0.111    0.020   211  
 1   2212   3.00   0.10   -0.475   0.222    0.029   211  
 1   2212   3.00   0.10   -0.425   0.369    0.040   211  
 1   2212   3.00   0.10   -0.375   0.493    0.045   211  
 1   2212   3.00   0.10   -0.325   0.794    0.062   211  
 1   2212   3.00   0.10   -0.275   1.173    0.073   211  
 1   2212   3.00   0.10   -0.225   1.580    0.089   211  
