#  Provided & maintained by Steve Dytman
#
# data used in GENIE for pA and nA total cross sections where A is any nucleus
# use INC model results of Mashnik, et al. for proton+56Fe
# assume nA same as pA for now, can be improved later
# KE is lab energy in MeV, cross sections in lab, units= mb
# KE     pA tot     pA elas     pA inel      pA cex      pA abs      pA pipro
#
#  fate=               2            3           1          4            5    
 0.    0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 50.   1.3639e+03  7.4000e+02  1.7726e+02  3.0100e+01  4.1665e+02  0.0000e+00
 100.  9.3472e+02  4.6320e+02  1.0004e+02  1.7000e+01  3.5450e+02  0.0000e+00
 150.  8.4593e+02  4.4390e+02  6.5100e+01  1.1400e+01  3.2552e+02  0.0000e+00
 200.  7.9636e+02  4.2460e+02  4.8880e+01  9.1000e+00  3.1368e+02  1.2000e-01
 250.  7.6417e+02  4.0530e+02  3.9100e+01  7.8000e+00  3.1068e+02  1.2600e+00
 300.  7.4126e+02  3.8600e+02  3.2480e+01  7.1000e+00  3.1098e+02  4.7400e+00
 350.  7.2390e+02  3.6670e+02  2.7560e+01  6.4000e+00  3.1158e+02  1.1680e+01
 400.  7.1057e+02  3.4740e+02  2.3740e+01  6.0000e+00  3.1069e+02  2.2760e+01
 450.  7.0100e+02  3.2810e+02  2.0780e+01  5.6000e+00  3.0852e+02  3.8000e+01
 500.  6.9382e+02  3.0880e+02  1.8780e+01  5.3000e+00  3.0334e+02  5.7600e+01
 550.  6.8857e+02  2.8950e+02  1.7160e+01  5.0000e+00  2.9750e+02  7.9400e+01
 600.  6.8410e+02  2.7020e+02  1.5960e+01  4.8000e+00  2.9013e+02  1.0300e+02
 650.  6.7958e+02  2.5090e+02  1.5100e+01  4.7000e+00  2.8192e+02  1.2696e+02
 700.  6.7500e+02  2.3160e+02  1.4500e+01  4.5000e+00  2.7384e+02  1.5056e+02
 750.  6.6920e+02  2.1230e+02  1.4020e+01  4.5000e+00  2.6611e+02  1.7228e+02
 800.  6.6347e+02  1.9300e+02  1.3520e+01  4.4000e+00  2.5831e+02  1.9424e+02
 850.  6.5622e+02  1.7370e+02  1.3100e+01  4.3000e+00  2.5003e+02  2.1508e+02
 900.  6.4897e+02  1.5440e+02  1.2700e+01  4.1000e+00  2.4181e+02  2.3596e+02
 950.  6.4125e+02  1.3510e+02  1.2400e+01  4.0000e+00  2.3303e+02  2.5672e+02
1000.  6.3242e+02  1.1580e+02  1.2060e+01  3.9000e+00  2.2438e+02  2.7628e+02
