# Provided & maintained by Steve Dytman
#
# Data used in GENIE for piN total cross sections where N is either p or n
# use PWA results of Arndt, et al. for pi+p elas, pi-p elas, pi-p cex, and pi_d->pp
# pi+N and pi-N are identical because of isospin relations
# pi0N calculated from isospin relns for elas and cex, avg of pi+ and pi- for others
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pi+n tot   pi+n cex  pi+n elas  pi+n reac   pi+p tot   pi+p cex  pi+p elas  pi+p reac   pi+d abs   
   0    0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15    1.030e+01  4.592e+00  1.868e+00  1.328e-02  6.409e+00  0.000e+00  2.584e+00  0.000e+00  3.825e+00
  30    1.134e+01  5.092e+00  1.694e+00  2.966e-02  9.692e+00  0.000e+00  5.169e+00  5.113e-08  4.523e+00
  45    1.364e+01  6.211e+00  1.798e+00  4.984e-02  1.515e+01  0.000e+00  9.567e+00  6.050e-07  5.580e+00
  60    1.718e+01  8.025e+00  2.210e+00  7.495e-02  2.339e+01  0.000e+00  1.652e+01  5.468e-07  6.867e+00
  75    2.221e+01  1.075e+01  3.027e+00  1.066e-01  3.549e+01  0.000e+00  2.716e+01  1.248e-06  8.327e+00
  90    2.908e+01  1.469e+01  4.408e+00  1.464e-01  5.278e+01  0.000e+00  4.294e+01  0.000e+00  9.839e+00
 105    3.806e+01  2.015e+01  6.547e+00  1.960e-01  7.693e+01  0.000e+00  6.576e+01  0.000e+00  1.117e+01
 120    4.918e+01  2.730e+01  9.609e+00  2.546e-01  1.090e+02  0.000e+00  9.693e+01  8.874e-07  1.202e+01
 135    6.160e+01  3.559e+01  1.350e+01  3.165e-01  1.477e+02  0.000e+00  1.355e+02  0.000e+00  1.219e+01
 150    7.296e+01  4.330e+01  1.758e+01  3.688e-01  1.858e+02  0.000e+00  1.741e+02  1.111e-07  1.171e+01
 165    7.974e+01  4.795e+01  2.066e+01  3.959e-01  2.108e+02  0.000e+00  2.001e+02  0.000e+00  1.073e+01
 180    7.963e+01  4.800e+01  2.179e+01  4.284e-01  2.138e+02  0.000e+00  2.043e+02  4.475e-02  9.412e+00
 195    7.367e+01  4.425e+01  2.101e+01  4.752e-01  1.977e+02  0.000e+00  1.896e+02  1.206e-01  7.939e+00
 210    6.493e+01  3.876e+01  1.913e+01  5.264e-01  1.724e+02  0.000e+00  1.657e+02  1.821e-01  6.509e+00
 225    5.596e+01  3.317e+01  1.693e+01  5.979e-01  1.462e+02  0.000e+00  1.407e+02  2.293e-01  5.265e+00
 240    4.810e+01  2.827e+01  1.487e+01  7.021e-01  1.230e+02  0.000e+00  1.185e+02  2.669e-01  4.253e+00
 255    4.172e+01  2.428e+01  1.313e+01  8.490e-01  1.037e+02  0.000e+00  9.997e+01  2.997e-01  3.459e+00
 270    3.677e+01  2.113e+01  1.175e+01  1.049e+00  8.811e+01  0.000e+00  8.494e+01  3.317e-01  2.842e+00
 285    3.310e+01  1.870e+01  1.072e+01  1.313e+00  7.555e+01  0.000e+00  7.282e+01  3.661e-01  2.364e+00
 300    3.051e+01  1.684e+01  1.003e+01  1.653e+00  6.542e+01  0.000e+00  6.302e+01  4.055e-01  1.990e+00
 315    2.883e+01  1.543e+01  9.629e+00  2.080e+00  5.717e+01  0.000e+00  5.502e+01  4.522e-01  1.695e+00
 330    2.790e+01  1.436e+01  9.485e+00  2.596e+00  5.040e+01  0.000e+00  4.843e+01  5.083e-01  1.460e+00
 345    2.754e+01  1.353e+01  9.547e+00  3.195e+00  4.480e+01  0.000e+00  4.296e+01  5.755e-01  1.269e+00
 360    2.757e+01  1.285e+01  9.749e+00  3.856e+00  4.013e+01  0.000e+00  3.836e+01  6.555e-01  1.114e+00
 375    2.781e+01  1.226e+01  1.002e+01  4.544e+00  3.619e+01  0.000e+00  3.446e+01  7.492e-01  9.840e-01
 390    2.811e+01  1.171e+01  1.030e+01  5.221e+00  3.284e+01  0.000e+00  3.111e+01  8.576e-01  8.752e-01
 405    2.837e+01  1.118e+01  1.055e+01  5.858e+00  2.998e+01  0.000e+00  2.822e+01  9.816e-01  7.824e-01
 420    2.861e+01  1.069e+01  1.077e+01  6.447e+00  2.754e+01  0.000e+00  2.571e+01  1.123e+00  7.023e-01
 435    2.883e+01  1.024e+01  1.096e+01  6.997e+00  2.543e+01  0.000e+00  2.351e+01  1.284e+00  6.323e-01
 450    2.911e+01  9.850e+00  1.116e+01  7.529e+00  2.360e+01  0.000e+00  2.156e+01  1.466e+00  5.703e-01
 465    2.954e+01  9.543e+00  1.141e+01  8.074e+00  2.204e+01  0.000e+00  1.985e+01  1.672e+00  5.148e-01
 480    3.021e+01  9.331e+00  1.175e+01  8.663e+00  2.069e+01  0.000e+00  1.832e+01  1.904e+00  4.646e-01
 495    3.122e+01  9.228e+00  1.224e+01  9.331e+00  1.953e+01  0.000e+00  1.695e+01  2.164e+00  4.187e-01
 510    3.265e+01  9.246e+00  1.292e+01  1.011e+01  1.856e+01  0.000e+00  1.573e+01  2.453e+00  3.764e-01
 525    3.459e+01  9.392e+00  1.384e+01  1.102e+01  1.774e+01  0.000e+00  1.463e+01  2.773e+00  3.373e-01
 540    3.712e+01  9.669e+00  1.506e+01  1.209e+01  1.707e+01  0.000e+00  1.364e+01  3.125e+00  3.011e-01
 555    4.035e+01  1.008e+01  1.669e+01  1.331e+01  1.652e+01  0.000e+00  1.274e+01  3.511e+00  2.676e-01
 570    4.388e+01  9.921e+00  1.832e+01  1.540e+01  1.608e+01  0.000e+00  1.191e+01  3.934e+00  2.371e-01
 585    4.610e+01  9.690e+00  1.932e+01  1.688e+01  1.576e+01  0.000e+00  1.115e+01  4.399e+00  2.095e-01
 600    4.707e+01  9.262e+00  1.973e+01  1.789e+01  1.554e+01  0.000e+00  1.044e+01  4.910e+00  1.854e-01
 615    4.651e+01  8.589e+00  1.938e+01  1.836e+01  1.543e+01  0.000e+00  9.768e+00  5.476e+00  1.831e-01
 630    4.468e+01  7.754e+00  1.837e+01  1.838e+01  1.542e+01  0.000e+00  9.141e+00  6.103e+00  1.808e-01
 645    4.219e+01  6.901e+00  1.698e+01  1.813e+01  1.554e+01  0.000e+00  8.559e+00  6.798e+00  1.784e-01
 660    3.967e+01  6.155e+00  1.553e+01  1.781e+01  1.578e+01  0.000e+00  8.038e+00  7.564e+00  1.761e-01
 675    3.763e+01  5.579e+00  1.428e+01  1.760e+01  1.618e+01  0.000e+00  7.609e+00  8.397e+00  1.738e-01
 690    3.628e+01  5.190e+00  1.335e+01  1.757e+01  1.677e+01  0.000e+00  7.326e+00  9.273e+00  1.715e-01
 705    3.574e+01  4.977e+00  1.284e+01  1.775e+01  1.757e+01  0.000e+00  7.247e+00  1.015e+01  1.692e-01
 720    3.601e+01  4.929e+00  1.275e+01  1.816e+01  1.855e+01  0.000e+00  7.419e+00  1.096e+01  1.669e-01
 735    3.703e+01  5.033e+00  1.307e+01  1.876e+01  1.964e+01  0.000e+00  7.846e+00  1.163e+01  1.645e-01
 750    3.875e+01  5.272e+00  1.378e+01  1.954e+01  2.076e+01  0.000e+00  8.473e+00  1.212e+01  1.622e-01
 765    4.105e+01  5.621e+00  1.481e+01  2.046e+01  2.177e+01  0.000e+00  9.202e+00  1.241e+01  1.599e-01
 780    4.385e+01  6.047e+00  1.613e+01  2.152e+01  2.262e+01  0.000e+00  9.930e+00  1.253e+01  1.576e-01
 795    4.702e+01  6.515e+00  1.767e+01  2.268e+01  2.328e+01  0.000e+00  1.058e+01  1.254e+01  1.553e-01
 810    5.036e+01  6.987e+00  1.935e+01  2.387e+01  2.376e+01  0.000e+00  1.113e+01  1.248e+01  1.530e-01
 825    5.364e+01  7.418e+00  2.105e+01  2.502e+01  2.410e+01  0.000e+00  1.156e+01  1.239e+01  1.506e-01
 840    5.654e+01  7.758e+00  2.261e+01  2.602e+01  2.433e+01  0.000e+00  1.189e+01  1.229e+01  1.483e-01
 855    5.869e+01  7.953e+00  2.385e+01  2.674e+01  2.450e+01  0.000e+00  1.214e+01  1.221e+01  1.460e-01
 870    5.981e+01  7.956e+00  2.461e+01  2.710e+01  2.460e+01  0.000e+00  1.232e+01  1.214e+01  1.437e-01
 885    5.975e+01  7.745e+00  2.479e+01  2.707e+01  2.471e+01  0.000e+00  1.246e+01  1.211e+01  1.414e-01
 900    5.854e+01  7.339e+00  2.439e+01  2.667e+01  2.482e+01  0.000e+00  1.256e+01  1.212e+01  1.391e-01
 915    5.646e+01  6.794e+00  2.351e+01  2.602e+01  2.496e+01  0.000e+00  1.265e+01  1.217e+01  1.367e-01
 930    5.388e+01  6.182e+00  2.234e+01  2.522e+01  2.513e+01  0.000e+00  1.273e+01  1.227e+01  1.344e-01
 945    5.110e+01  5.569e+00  2.102e+01  2.438e+01  2.535e+01  0.000e+00  1.281e+01  1.241e+01  1.321e-01
 960    4.841e+01  5.001e+00  1.969e+01  2.359e+01  2.563e+01  0.000e+00  1.290e+01  1.260e+01  1.298e-01
