# Provided & maintained by Steve Dytman
#
# Data used in GENIE for piN total cross sections where N is average of p and n
# use PWA results of Arndt, et al. for pi+p elas, pi-p elas, pi-p cex, and pi_d->pp
# pi+N and pi-N are identical because of isospin relations
# pi0N calculated from isospin relns for elas and cex, avg of pi+ and pi- for others
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pi+N tot    pi+N cex   pi+N elas   pi+N reac   pi+N abs    pi0N tot    pi0N cex    pi0N elas   pi0N reac   pi0N abs    
   0.  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  15.  0.8354E+01  0.2296E+01  0.2226E+01  0.6640E-02  0.3825E+01  0.1051E+02  0.4592E+01  0.2082E+01  0.6640E-02  0.3825E+01
  30.  0.1052E+02  0.2546E+01  0.3432E+01  0.1483E-01  0.4523E+01  0.1277E+02  0.5092E+01  0.3141E+01  0.1483E-01  0.4523E+01
  45.  0.1439E+02  0.3105E+01  0.5683E+01  0.2492E-01  0.5580E+01  0.1687E+02  0.6211E+01  0.5055E+01  0.2492E-01  0.5580E+01
  60.  0.2028E+02  0.4012E+01  0.9365E+01  0.3748E-01  0.6867E+01  0.2306E+02  0.8025E+01  0.8130E+01  0.3748E-01  0.6867E+01
  75.  0.2885E+02  0.5375E+01  0.1509E+02  0.5330E-01  0.8327E+01  0.3199E+02  0.1075E+02  0.1286E+02  0.5330E-01  0.8327E+01
  90.  0.4093E+02  0.7345E+01  0.2367E+02  0.7320E-01  0.9839E+01  0.4448E+02  0.1469E+02  0.1988E+02  0.7320E-01  0.9839E+01
 105.  0.5750E+02  0.1007E+02  0.3615E+02  0.9800E-01  0.1117E+02  0.6144E+02  0.2015E+02  0.3002E+02  0.9800E-01  0.1117E+02
 120.  0.7907E+02  0.1365E+02  0.5327E+02  0.1273E+00  0.1202E+02  0.8329E+02  0.2730E+02  0.4385E+02  0.1273E+00  0.1202E+02
 135.  0.1046E+03  0.1779E+02  0.7450E+02  0.1583E+00  0.1219E+02  0.1088E+03  0.3559E+02  0.6088E+02  0.1582E+00  0.1219E+02
 150.  0.1294E+03  0.2165E+02  0.9584E+02  0.1844E+00  0.1171E+02  0.1330E+03  0.4330E+02  0.7785E+02  0.1844E+00  0.1171E+02
 165.  0.1453E+03  0.2397E+02  0.1104E+03  0.1979E+00  0.1073E+02  0.1481E+03  0.4795E+02  0.8925E+02  0.1979E+00  0.1073E+02
 180.  0.1467E+03  0.2400E+02  0.1130E+03  0.2366E+00  0.9412E+01  0.1487E+03  0.4800E+02  0.9108E+02  0.2366E+00  0.9412E+01
 195.  0.1357E+03  0.2212E+02  0.1053E+03  0.2979E+00  0.7939E+01  0.1371E+03  0.4425E+02  0.8461E+02  0.2979E+00  0.7939E+01
 210.  0.1187E+03  0.1938E+02  0.9242E+02  0.3543E+00  0.6509E+01  0.1197E+03  0.3876E+02  0.7409E+02  0.3542E+00  0.6509E+01
 225.  0.1011E+03  0.1658E+02  0.7882E+02  0.4136E+00  0.5265E+01  0.1019E+03  0.3317E+02  0.6307E+02  0.4136E+00  0.5265E+01
 240.  0.8556E+02  0.1414E+02  0.6668E+02  0.4845E+00  0.4253E+01  0.8628E+02  0.2827E+02  0.5327E+02  0.4845E+00  0.4253E+01
 255.  0.7272E+02  0.1214E+02  0.5655E+02  0.5743E+00  0.3459E+01  0.7343E+02  0.2428E+02  0.4511E+02  0.5744E+00  0.3459E+01
 270.  0.6244E+02  0.1057E+02  0.4835E+02  0.6903E+00  0.2842E+01  0.6317E+02  0.2113E+02  0.3851E+02  0.6903E+00  0.2842E+01
 285.  0.5432E+02  0.9350E+01  0.4177E+02  0.8396E+00  0.2364E+01  0.5513E+02  0.1870E+02  0.3322E+02  0.8396E+00  0.2364E+01
 300.  0.4796E+02  0.8420E+01  0.3653E+02  0.1029E+01  0.1990E+01  0.4885E+02  0.1684E+02  0.2899E+02  0.1029E+01  0.1990E+01
 315.  0.4300E+02  0.7715E+01  0.3232E+02  0.1266E+01  0.1695E+01  0.4396E+02  0.1543E+02  0.2557E+02  0.1266E+01  0.1695E+01
 330.  0.3915E+02  0.7180E+01  0.2896E+02  0.1552E+01  0.1460E+01  0.4018E+02  0.1436E+02  0.2281E+02  0.1552E+01  0.1460E+01
 345.  0.3617E+02  0.6765E+01  0.2625E+02  0.1885E+01  0.1269E+01  0.3724E+02  0.1353E+02  0.2055E+02  0.1885E+01  0.1269E+01
 360.  0.3385E+02  0.6425E+01  0.2405E+02  0.2256E+01  0.1114E+01  0.3490E+02  0.1285E+02  0.1868E+02  0.2256E+01  0.1114E+01
 375.  0.3200E+02  0.6130E+01  0.2224E+02  0.2647E+01  0.9840E+00  0.3301E+02  0.1226E+02  0.1711E+02  0.2647E+01  0.9840E+00
 390.  0.3047E+02  0.5855E+01  0.2070E+02  0.3039E+01  0.8752E+00  0.3139E+02  0.1171E+02  0.1577E+02  0.3039E+01  0.8752E+00
 405.  0.2918E+02  0.5590E+01  0.1939E+02  0.3420E+01  0.7824E+00  0.2998E+02  0.1118E+02  0.1460E+02  0.3420E+01  0.7824E+00
 420.  0.2807E+02  0.5345E+01  0.1824E+02  0.3785E+01  0.7023E+00  0.2875E+02  0.1069E+02  0.1357E+02  0.3785E+01  0.7023E+00
 435.  0.2713E+02  0.5120E+01  0.1724E+02  0.4141E+01  0.6323E+00  0.2769E+02  0.1024E+02  0.1268E+02  0.4141E+01  0.6323E+00
 450.  0.2635E+02  0.4925E+01  0.1636E+02  0.4497E+01  0.5703E+00  0.2680E+02  0.9850E+01  0.1189E+02  0.4497E+01  0.5703E+00
 465.  0.2579E+02  0.4772E+01  0.1563E+02  0.4873E+01  0.5148E+00  0.2614E+02  0.9543E+01  0.1121E+02  0.4873E+01  0.5148E+00
 480.  0.2545E+02  0.4666E+01  0.1503E+02  0.5284E+01  0.4646E+00  0.2572E+02  0.9331E+01  0.1064E+02  0.5284E+01  0.4646E+00
 495.  0.2538E+02  0.4614E+01  0.1459E+02  0.5748E+01  0.4187E+00  0.2556E+02  0.9228E+01  0.1017E+02  0.5748E+01  0.4187E+00
 510.  0.2561E+02  0.4623E+01  0.1432E+02  0.6281E+01  0.3764E+00  0.2572E+02  0.9246E+01  0.9812E+01  0.6281E+01  0.3764E+00
 525.  0.2616E+02  0.4696E+01  0.1424E+02  0.6897E+01  0.3373E+00  0.2619E+02  0.9392E+01  0.9561E+01  0.6897E+01  0.3373E+00
 540.  0.2709E+02  0.4835E+01  0.1435E+02  0.7608E+01  0.3011E+00  0.2700E+02  0.9669E+01  0.9426E+01  0.7608E+01  0.3011E+00
 555.  0.2843E+02  0.5040E+01  0.1471E+02  0.8411E+01  0.2676E+00  0.2817E+02  0.1008E+02  0.9416E+01  0.8411E+01  0.2676E+00
 570.  0.2998E+02  0.4960E+01  0.1511E+02  0.9667E+01  0.2371E+00  0.2916E+02  0.9921E+01  0.9338E+01  0.9667E+01  0.2371E+00
 585.  0.3093E+02  0.4845E+01  0.1523E+02  0.1064E+02  0.2095E+00  0.2971E+02  0.9690E+01  0.9171E+01  0.1064E+02  0.2095E+00
 600.  0.3130E+02  0.4631E+01  0.1508E+02  0.1140E+02  0.1854E+00  0.2974E+02  0.9262E+01  0.8892E+01  0.1140E+02  0.1854E+00
 615.  0.3099E+02  0.4295E+01  0.1457E+02  0.1192E+02  0.2069E+00  0.2917E+02  0.8589E+01  0.8460E+01  0.1192E+02  0.2069E+00
 630.  0.3008E+02  0.3877E+01  0.1376E+02  0.1224E+02  0.2043E+00  0.2811E+02  0.7754E+01  0.7909E+01  0.1224E+02  0.2043E+00
 645.  0.2889E+02  0.3450E+01  0.1277E+02  0.1246E+02  0.2016E+00  0.2688E+02  0.6901E+01  0.7309E+01  0.1246E+02  0.2016E+00
 660.  0.2775E+02  0.3077E+01  0.1178E+02  0.1269E+02  0.1990E+00  0.2578E+02  0.6155E+01  0.6740E+01  0.1269E+02  0.1990E+00
 675.  0.2693E+02  0.2789E+01  0.1094E+02  0.1300E+02  0.1964E+00  0.2504E+02  0.5579E+01  0.6269E+01  0.1300E+02  0.1964E+00
 690.  0.2655E+02  0.2595E+01  0.1034E+02  0.1342E+02  0.1938E+00  0.2474E+02  0.5190E+01  0.5939E+01  0.1342E+02  0.1938E+00
 705.  0.2667E+02  0.2488E+01  0.1004E+02  0.1395E+02  0.1912E+00  0.2491E+02  0.4977E+01  0.5788E+01  0.1395E+02  0.1912E+00
 720.  0.2730E+02  0.2464E+01  0.1008E+02  0.1456E+02  0.1886E+00  0.2551E+02  0.4929E+01  0.5832E+01  0.1456E+02  0.1886E+00
 735.  0.2836E+02  0.2517E+01  0.1046E+02  0.1519E+02  0.1859E+00  0.2648E+02  0.5033E+01  0.6068E+01  0.1519E+02  0.1859E+00
 750.  0.2978E+02  0.2636E+01  0.1113E+02  0.1583E+02  0.1833E+00  0.2776E+02  0.5272E+01  0.6470E+01  0.1583E+02  0.1833E+00
 765.  0.3143E+02  0.2811E+01  0.1201E+02  0.1643E+02  0.1807E+00  0.2922E+02  0.5621E+01  0.6984E+01  0.1643E+02  0.1807E+00
 780.  0.3326E+02  0.3024E+01  0.1303E+02  0.1702E+02  0.1781E+00  0.3081E+02  0.6047E+01  0.7558E+01  0.1702E+02  0.1781E+00
 795.  0.3517E+02  0.3257E+01  0.1412E+02  0.1761E+02  0.1755E+00  0.3245E+02  0.6515E+01  0.8145E+01  0.1761E+02  0.1755E+00
 810.  0.3708E+02  0.3494E+01  0.1524E+02  0.1817E+02  0.1728E+00  0.3405E+02  0.6987E+01  0.8718E+01  0.1817E+02  0.1728E+00
 825.  0.3889E+02  0.3709E+01  0.1631E+02  0.1870E+02  0.1702E+00  0.3553E+02  0.7418E+01  0.9240E+01  0.1870E+02  0.1702E+00
 840.  0.4045E+02  0.3879E+01  0.1725E+02  0.1916E+02  0.1676E+00  0.3677E+02  0.7758E+01  0.9685E+01  0.1916E+02  0.1676E+00
 855.  0.4161E+02  0.3977E+01  0.1800E+02  0.1948E+02  0.1650E+00  0.3761E+02  0.7953E+01  0.1002E+02  0.1947E+02  0.1650E+00
 870.  0.4223E+02  0.3978E+01  0.1847E+02  0.1962E+02  0.1624E+00  0.3796E+02  0.7956E+01  0.1022E+02  0.1962E+02  0.1624E+00
 885.  0.4225E+02  0.3872E+01  0.1862E+02  0.1959E+02  0.1597E+00  0.3776E+02  0.7745E+01  0.1027E+02  0.1959E+02  0.1597E+00
 900.  0.4170E+02  0.3669E+01  0.1848E+02  0.1940E+02  0.1571E+00  0.3706E+02  0.7339E+01  0.1017E+02  0.1940E+02  0.1571E+00
 915.  0.4073E+02  0.3397E+01  0.1808E+02  0.1910E+02  0.1545E+00  0.3601E+02  0.6794E+01  0.9970E+01  0.1909E+02  0.1545E+00
 930.  0.3952E+02  0.3091E+01  0.1753E+02  0.1874E+02  0.1519E+00  0.3478E+02  0.6182E+01  0.9704E+01  0.1874E+02  0.1519E+00
 945.  0.3824E+02  0.2784E+01  0.1692E+02  0.1840E+02  0.1493E+00  0.3353E+02  0.5569E+01  0.9413E+01  0.1840E+02  0.1493E+00
 960.  0.3704E+02  0.2500E+01  0.1630E+02  0.1810E+02  0.1466E+00  0.3237E+02  0.5001E+01  0.9132E+01  0.1810E+02  0.1467E+00
 975.  0.3598E+02  0.2252E+01  0.1572E+02  0.1786E+02  0.1440E+00  0.3139E+02  0.4504E+01  0.8880E+01  0.1786E+02  0.1440E+00
 990.  0.3511E+02  0.2043E+01  0.1522E+02  0.1772E+02  0.1414E+00  0.3059E+02  0.4087E+01  0.8651E+01  0.1772E+02  0.1414E+00
1005.  0.3446E+02  0.1875E+01  0.1480E+02  0.1765E+02  0.1388E+00  0.3003E+02  0.3749E+01  0.8489E+01  0.1765E+02  0.1388E+00
1020.  0.3401E+02  0.1742E+01  0.1447E+02  0.1767E+02  0.1362E+00  0.2966E+02  0.3484E+01  0.8373E+01  0.1767E+02  0.1362E+00
1035.  0.3374E+02  0.1641E+01  0.1422E+02  0.1775E+02  0.1336E+00  0.2947E+02  0.3283E+01  0.8303E+01  0.1775E+02  0.1336E+00
1050.  0.3364E+02  0.1569E+01  0.1405E+02  0.1790E+02  0.1309E+00  0.2944E+02  0.3138E+01  0.8276E+01  0.1790E+02  0.1309E+00
1065.  0.3368E+02  0.1519E+01  0.1394E+02  0.1810E+02  0.1283E+00  0.2955E+02  0.3039E+01  0.8287E+01  0.1810E+02  0.1283E+00
1080.  0.3385E+02  0.1490E+01  0.1390E+02  0.1834E+02  0.1257E+00  0.2977E+02  0.2979E+01  0.8328E+01  0.1834E+02  0.1257E+00
1095.  0.3413E+02  0.1475E+01  0.1391E+02  0.1862E+02  0.1231E+00  0.3010E+02  0.2950E+01  0.8404E+01  0.1862E+02  0.1231E+00
1110.  0.3449E+02  0.1473E+01  0.1397E+02  0.1893E+02  0.1205E+00  0.3050E+02  0.2946E+01  0.8504E+01  0.1893E+02  0.1205E+00
1125.  0.3491E+02  0.1481E+01  0.1405E+02  0.1926E+02  0.1178E+00  0.3096E+02  0.2962E+01  0.8621E+01  0.1926E+02  0.1178E+00
1140.  0.3538E+02  0.1495E+01  0.1416E+02  0.1960E+02  0.1152E+00  0.3146E+02  0.2990E+01  0.8753E+01  0.1960E+02  0.1152E+00
1155.  0.3587E+02  0.1514E+01  0.1430E+02  0.1994E+02  0.1126E+00  0.3198E+02  0.3028E+01  0.8894E+01  0.1994E+02  0.1126E+00
1170.  0.3637E+02  0.1535E+01  0.1443E+02  0.2030E+02  0.1100E+00  0.3251E+02  0.3071E+01  0.9035E+01  0.2030E+02  0.1100E+00
1185.  0.3687E+02  0.1557E+01  0.1457E+02  0.2064E+02  0.1074E+00  0.3304E+02  0.3114E+01  0.9174E+01  0.2064E+02  0.1074E+00
1200.  0.3733E+02  0.1577E+01  0.1468E+02  0.2097E+02  0.1047E+00  0.3352E+02  0.3154E+01  0.9298E+01  0.2097E+02  0.1047E+00
1215.  0.3775E+02  0.1594E+01  0.1478E+02  0.2128E+02  0.1021E+00  0.3397E+02  0.3187E+01  0.9402E+01  0.2128E+02  0.1021E+00
1230.  0.3810E+02  0.1605E+01  0.1486E+02  0.2155E+02  0.9951E-01  0.3434E+02  0.3210E+01  0.9487E+01  0.2155E+02  0.9951E-01
1245.  0.3838E+02  0.1611E+01  0.1489E+02  0.2178E+02  0.9689E-01  0.3464E+02  0.3222E+01  0.9540E+01  0.2178E+02  0.9689E-01
1260.  0.3858E+02  0.1610E+01  0.1489E+02  0.2199E+02  0.9428E-01  0.3486E+02  0.3219E+01  0.9562E+01  0.2199E+02  0.9428E-01
1275.  0.3868E+02  0.1601E+01  0.1484E+02  0.2214E+02  0.9166E-01  0.3498E+02  0.3203E+01  0.9549E+01  0.2214E+02  0.9166E-01
1290.  0.3870E+02  0.1586E+01  0.1476E+02  0.2225E+02  0.8904E-01  0.3502E+02  0.3172E+01  0.9506E+01  0.2225E+02  0.8904E-01
1305.  0.3862E+02  0.1564E+01  0.1464E+02  0.2232E+02  0.8642E-01  0.3497E+02  0.3127E+01  0.9430E+01  0.2233E+02  0.8642E-01
1320.  0.3847E+02  0.1536E+01  0.1450E+02  0.2235E+02  0.8380E-01  0.3484E+02  0.3071E+01  0.9328E+01  0.2235E+02  0.8380E-01
1335.  0.3824E+02  0.1502E+01  0.1431E+02  0.2235E+02  0.8118E-01  0.3464E+02  0.3005E+01  0.9200E+01  0.2235E+02  0.8118E-01
1350.  0.3797E+02  0.1465E+01  0.1411E+02  0.2232E+02  0.7857E-01  0.3438E+02  0.2930E+01  0.9056E+01  0.2232E+02  0.7856E-01
1365.  0.3766E+02  0.1425E+01  0.1390E+02  0.2226E+02  0.7594E-01  0.3408E+02  0.2850E+01  0.8898E+01  0.2226E+02  0.7594E-01
