# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 900 MeV

0.000 -4.729318E-02
9.000 -9.212182E-03
18.000 4.330588E-03
27.000 1.380398E-02
36.000 1.270204E-02
45.000 5.210183E-03
54.000 -7.872122E-04
63.000 -8.334556E-04
72.000 2.438050E-03
81.000 1.074861E-02
90.000 2.704728E-02
99.000 1.074861E-02
108.000 2.438050E-03
117.000 -8.334556E-04
126.000 -7.872122E-04
135.000 5.210183E-03
144.000 1.270204E-02
153.000 1.380398E-02
162.000 4.330588E-03
171.000 -9.212182E-03
180.000 -4.729318E-02
