# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 600 MeV

0.000 -9.724602E-02
9.000 -6.493455E-02
18.000 -3.765564E-02
27.000 -1.569047E-02
36.000 -5.545581E-04
45.000 6.292559E-03
54.000 6.525234E-03
63.000 3.830812E-03
72.000 5.625003E-04
81.000 -2.701849E-03
90.000 -6.085571E-03
99.000 -9.560370E-03
108.000 -1.294015E-02
117.000 -1.610222E-02
126.000 -1.884477E-02
135.000 -2.071320E-02
144.000 -2.062299E-02
153.000 -1.521330E-02
162.000 3.601124E-03
171.000 2.988497E-02
180.000 4.856744E-02
