# Provided & maintained by Steve Dytman
#
# data used in GENIE for pN and nN total cross sections where N is average of p and n
# use PWA results of Arndt, et al. for pp elas, np elas, pp reac, and np reac
# no nn results, assume nn same as np for now, can be improved later
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pN tot     pN elas     pN reac      nN tot      nN elas     nN reac  
   0.  0.9040E+04  0.9040E+04  0.0000E+00  0.1808E+05  0.1808E+05  0.0000E+00
   5.  0.1163E+04  0.1163E+03  0.0000E+00  0.1635E+04  0.1635E+03  0.0000E+00
  10.  0.6476E+03  0.6476E+03  0.0000E+00  0.9455E+03  0.9455E+03  0.0000E+00
  15.  0.4372E+03  0.4372E+03  0.0000E+00  0.6492E+03  0.6492E+03  0.0000E+00
  30.  0.2062E+03  0.2062E+03  0.0000E+00  0.3095E+03  0.3095E+03  0.0000E+00
  45.  0.1286E+03  0.1286E+03  0.0000E+00  0.1914E+03  0.1914E+03  0.0000E+00
  60.  0.9205E+02  0.9206E+02  0.0000E+00  0.1351E+03  0.1351E+03  0.0000E+00
  75.  0.7175E+02  0.7175E+02  0.0000E+00  0.1037E+03  0.1037E+03  0.0000E+00
  90.  0.5936E+02  0.5936E+02  0.0000E+00  0.8449E+02  0.8449E+02  0.0000E+00
 105.  0.5128E+02  0.5128E+02  0.0000E+00  0.7188E+02  0.7188E+02  0.0000E+00
 120.  0.4575E+02  0.4575E+02  0.0000E+00  0.6317E+02  0.6317E+02  0.0000E+00
 135.  0.4185E+02  0.4185E+02  0.0000E+00  0.5691E+02  0.5691E+02  0.0000E+00
 150.  0.3900E+02  0.3900E+02  0.0000E+00  0.5226E+02  0.5226E+02  0.0000E+00
 165.  0.3688E+02  0.3688E+02  0.0000E+00  0.4870E+02  0.4870E+02  0.0000E+00
 180.  0.3525E+02  0.3525E+02  0.0000E+00  0.4592E+02  0.4592E+02  0.0000E+00
 195.  0.3400E+02  0.3400E+02  0.0000E+00  0.4370E+02  0.4370E+02  0.0000E+00
 210.  0.3300E+02  0.3300E+02  0.0000E+00  0.4188E+02  0.4188E+02  0.0000E+00
 225.  0.3218E+02  0.3218E+02  0.0000E+00  0.4037E+02  0.4037E+02  0.0000E+00
 240.  0.3151E+02  0.3151E+02  0.0000E+00  0.3910E+02  0.3910E+02  0.0000E+00
 255.  0.3094E+02  0.3094E+02  0.0000E+00  0.3801E+02  0.3801E+02  0.0000E+00
 270.  0.3047E+02  0.3047E+02  0.0000E+00  0.3707E+02  0.3707E+02  0.0000E+00
 285.  0.3006E+02  0.3006E+02  0.0000E+00  0.3625E+02  0.3625E+02  0.0000E+00
 300.  0.2985E+02  0.2975E+02  0.9892E-01  0.3563E+02  0.3556E+02  0.6595E-01
 315.  0.2969E+02  0.2949E+02  0.2095E+00  0.3509E+02  0.3495E+02  0.1398E+00
 330.  0.2959E+02  0.2926E+02  0.3338E+00  0.3462E+02  0.3440E+02  0.2230E+00
 345.  0.2953E+02  0.2906E+02  0.4745E+00  0.3424E+02  0.3392E+02  0.3176E+00
 360.  0.2953E+02  0.2890E+02  0.6351E+00  0.3392E+02  0.3349E+02  0.4258E+00
 375.  0.2957E+02  0.2875E+02  0.8198E+00  0.3365E+02  0.3310E+02  0.5506E+00
 390.  0.2966E+02  0.2863E+02  0.1033E+01  0.3344E+02  0.3275E+02  0.6950E+00
 405.  0.2981E+02  0.2853E+02  0.1279E+01  0.3330E+02  0.3244E+02  0.8628E+00
 420.  0.3003E+02  0.2847E+02  0.1566E+01  0.3323E+02  0.3217E+02  0.1058E+01
 435.  0.3031E+02  0.2841E+02  0.1899E+01  0.3321E+02  0.3192E+02  0.1286E+01
 450.  0.3066E+02  0.2837E+02  0.2286E+01  0.3325E+02  0.3170E+02  0.1551E+01
 465.  0.3107E+02  0.2833E+02  0.2734E+01  0.3335E+02  0.3149E+02  0.1857E+01
 480.  0.3156E+02  0.2831E+02  0.3249E+01  0.3352E+02  0.3131E+02  0.2211E+01
 495.  0.3213E+02  0.2829E+02  0.3836E+01  0.3374E+02  0.3113E+02  0.2614E+01
 510.  0.3277E+02  0.2827E+02  0.4497E+01  0.3403E+02  0.3096E+02  0.3069E+01
 525.  0.3346E+02  0.2823E+02  0.5228E+01  0.3435E+02  0.3078E+02  0.3573E+01
 540.  0.3420E+02  0.2817E+02  0.6022E+01  0.3472E+02  0.3060E+02  0.4121E+01
 555.  0.3496E+02  0.2810E+02  0.6865E+01  0.3511E+02  0.3041E+02  0.4705E+01
 570.  0.3573E+02  0.2799E+02  0.7743E+01  0.3552E+02  0.3020E+02  0.5316E+01
 585.  0.3649E+02  0.2784E+02  0.8641E+01  0.3591E+02  0.2997E+02  0.5942E+01
 600.  0.3722E+02  0.2768E+02  0.9536E+01  0.3630E+02  0.2973E+02  0.6573E+01
 615.  0.3791E+02  0.2749E+02  0.1042E+02  0.3667E+02  0.2947E+02  0.7199E+01
 630.  0.3857E+02  0.2730E+02  0.1127E+02  0.3702E+02  0.2921E+02  0.7809E+01
 645.  0.3918E+02  0.2710E+02  0.1208E+02  0.3733E+02  0.2894E+02  0.8394E+01
 660.  0.3973E+02  0.2690E+02  0.1283E+02  0.3763E+02  0.2868E+02  0.8947E+01
 675.  0.4023E+02  0.2672E+02  0.1352E+02  0.3788E+02  0.2842E+02  0.9462E+01
 690.  0.4068E+02  0.2655E+02  0.1414E+02  0.3811E+02  0.2817E+02  0.9936E+01
 705.  0.4106E+02  0.2638E+02  0.1468E+02  0.3829E+02  0.2792E+02  0.1037E+02
 720.  0.4139E+02  0.2622E+02  0.1517E+02  0.3844E+02  0.2768E+02  0.1076E+02
 735.  0.4167E+02  0.2608E+02  0.1559E+02  0.3857E+02  0.2745E+02  0.1112E+02
 750.  0.4189E+02  0.2592E+02  0.1597E+02  0.3866E+02  0.2721E+02  0.1145E+02
 765.  0.4207E+02  0.2578E+02  0.1629E+02  0.3873E+02  0.2698E+02  0.1175E+02
 780.  0.4221E+02  0.2564E+02  0.1658E+02  0.3877E+02  0.2674E+02  0.1203E+02
 795.  0.4231E+02  0.2549E+02  0.1683E+02  0.3880E+02  0.2651E+02  0.1229E+02
 810.  0.4239E+02  0.2533E+02  0.1706E+02  0.3881E+02  0.2627E+02  0.1254E+02
 825.  0.4245E+02  0.2519E+02  0.1726E+02  0.3882E+02  0.2604E+02  0.1278E+02
 840.  0.4249E+02  0.2503E+02  0.1745E+02  0.3881E+02  0.2580E+02  0.1301E+02
 855.  0.4251E+02  0.2488E+02  0.1764E+02  0.3880E+02  0.2557E+02  0.1323E+02
 870.  0.4253E+02  0.2472E+02  0.1781E+02  0.3879E+02  0.2534E+02  0.1345E+02
